Games,Team
33,Los Angeles Lakers
28,Golden State Warriors^
27,Miami Heat
22,Houston Rockets
20,Washington Capitols^
20,Milwaukee Bucks
19,Los Angeles Lakers
19,Boston Celtics
19,San Antonio Spurs
19,Atlanta Hawks
18,Rochester Royals^
18,Philadelphia 76ers^
18,New York Knicks
18,Boston Celtics
18,Chicago Bulls
18,Milwaukee Bucks
18,Phoenix Suns
17,Washington Capitols
17,Boston Celtics
17,San Antonio Spurs
17,Phoenix Suns
17,Dallas Mavericks
17,Los Angeles Clippers
17,Houston Rockets
16,Boston Celtics
16,Milwaukee Bucks
16,Milwaukee Bucks^
16,Los Angeles Lakers
16,Portland Trail Blazers
16,Los Angeles Lakers
16,Golden State Warriors
16,Boston Celtics
16,Philadelphia 76ers
