,Team,Win,Loss,Apps,ChampPct,Awards
0,Los Angeles Lakers[i],17.0,15.0,32.0,0.531,8
1,Boston Celtics,17.0,5.0,22.0,0.773,10
2,Golden State Warriors[ii],7.0,5.0,12.0,0.583,3
3,Chicago Bulls,6.0,0.0,6.0,1.0,6
4,San Antonio Spurs,5.0,1.0,6.0,0.833,3
5,Philadelphia 76ers[iii],3.0,6.0,9.0,0.333,6
6,Detroit Pistons[iv],3.0,4.0,7.0,0.429,0
7,Miami Heat,3.0,3.0,6.0,0.5,2
8,New York Knicks,2.0,6.0,8.0,0.25,1
9,Houston Rockets,2.0,2.0,4.0,0.5,4
10,Milwaukee Bucks,2.0,1.0,3.0,0.667,5
11,Cleveland Cavaliers,1.0,4.0,5.0,0.2,2
12,Atlanta Hawks[v],1.0,3.0,4.0,0.25,2
13,Washington Wizards[vi],1.0,3.0,4.0,0.25,1
14,Oklahoma City Thunder[vii],1.0,3.0,4.0,0.25,2
15,Portland Trail Blazers,1.0,2.0,3.0,0.333,1
16,Dallas Mavericks,1.0,1.0,2.0,0.5,1
17,Sacramento Kings[ix],1.0,0.0,1.0,1.0,1
18,Toronto Raptors,1.0,0.0,1.0,1.0,0
19,Phoenix Suns,0.0,3.0,3.0,0.0,3
20,Utah Jazz,0.0,2.0,2.0,0.0,2
21,Brooklyn Nets[x],0.0,2.0,2.0,0.0,0
22,Orlando Magic,0.0,2.0,2.0,0.0,0
23,Indiana Pacers,0.0,1.0,1.0,0.0,0
24,Charlotte Hornets,,,,,0
25,Denver Nuggets,,,,,2
26,Los Angeles Clippers,,,,,1
27,Memphis Grizzlies,,,,,0
28,Minnesota Timberwolves,,,,,1
29,New Orleans Pelicans,,,,,0
